valor hora
1.53 21:25:43
1.13 21:25:24
4.96 21:25:13
1.48 21:24:45
1.04 21:24:26
1.17 21:24:18
2.97 21:24:02
1.61 21:23:42
2.79 21:23:23
1.26 21:22:59
1.00 21:22:45
11.32 21:22:33
2.20 21:22:20
2.20 21:22:16
